"","PROBEID","GENENAME","ORF"
"308","10307_at","LOT6","YLR011W"
"309","10308_at",NA,"YLR012C"
"310","10309_at","GAT3","YLR013W"
"311","10310_at","PPR1","YLR014C"
"312","10311_at","BRE2","YLR015W"
"313","10312_at","PML1","YLR016C"
"314","10313_at","MEU1","YLR017W"
"315","10314_at","POM34","YLR018C"
"316","10315_at","PSR2","YLR019W"
"317","10316_at","YEH2","YLR020C"
"318","10317_at","IRC25","YLR021W"
"319","10318_at","SDO1","YLR022C"
"320","10319_at","IZH3","YLR023C"
"321","10320_at","UBR2","YLR024C"
"322","10321_at","SNF7","YLR025W"
"323","10322_at","SED5","YLR026C"
"324","10323_at","AAT2","YLR027C"
"325","10324_at","ADE16","YLR028C"
"326","10325_at","RPL15A","YLR029C"
"327","10326_g_at","RPL15A","YLR029C"
"328","10327_at",NA,"YLR030W"
"329","10328_at","BPT1","YLL015W"
"330","10329_at","EMC6","YLL014W"
"331","10330_at","PUF3","YLL013C"
"332","10331_at","YEH1","YLL012W"
"333","10332_at","SOF1","YLL011W"
"334","10333_at","PSR1","YLL010C"
"335","10334_at","COX17","YLL009C"
"336","10335_at","DRS1","YLL008W"
"337","10336_at","LMO1","YLL007C"
"338","10337_at","MMM1","YLL006W"
"339","10338_at","SPO75","YLL005C"
"340","10339_at","ORC3","YLL004W"
"341","10340_at","SFI1","YLL003W"
"342","10341_at","RTT109","YLL002W"
"343","10342_at","DNM1","YLL001W"
"344","10343_at",NA,"YLR001C"
"345","10344_at","NOC3","YLR002C"
"346","10345_at","CMS1","YLR003C"
"347","10346_at","THI73","YLR004C"
"348","10347_at","SSL1","YLR005W"
"349","10348_at","SSK1","YLR006C"
"350","10349_at","NSE1","YLR007W"
"351","10350_at","PAM18","YLR008C"
"352","10351_at","GRC3","YLL035W"
"353","10352_at","RIX7","YLL034C"
"354","10353_at","IRC19","YLL033W"
"355","10354_at",NA,"YLL032C"
"356","10355_at","GPI13","YLL031C"
"357","10356_at","RRT7","YLL030C"
"358","10357_at","FRA1","YLL029W"
"359","10358_at","TPO1","YLL028W"
"360","10359_at","ISA1","YLL027W"
"361","10360_at","HSP104","YLL026W"
"362","10361_f_at","PAU17","YLL025W"
"363","10362_at","SSA2","YLL024C"
"364","10363_at","POM33","YLL023C"
"365","10364_at","HIF1","YLL022C"
"366","10365_at","SPA2","YLL021W"
"367","10366_i_at",NA,"YLL020C"
"368","10367_r_at",NA,"YLL020C"
"369","10368_s_at",NA,"YLL020C"
"370","10369_at","KNS1","YLL019C"
"371","10370_at","DPS1","YLL018C"
"372","10371_at",NA,"YLL017W"
"373","10372_at","SDC25","YLL016W"
"374","10373_at","JLP1","YLL057C"
"375","10374_at",NA,"YLL056C"
"376","10375_at","YCT1","YLL055W"
"377","10376_at",NA,"YLL054C"
"378","10377_at",NA,"YLL053C"
"379","10378_at","AQY2","YLL052C"
"380","10379_at","FRE6","YLL051C"
"381","10380_at","COF1","YLL050C"
"382","10381_at","LDB18","YLL049W"
"383","10382_at","YBT1","YLL048C"
"384","10383_at",NA,"YLL047W"
"385","10384_at","RNP1","YLL046C"
"386","10385_i_at","RPL8B","YLL045C"
"387","10386_s_at","RPL8B","YLL045C"
"388","10387_at",NA,"YLL044W"
"389","10388_at","FPS1","YLL043W"
"390","10389_at","ATG10","YLL042C"
"391","10390_at","SDH2","YLL041C"
"392","10391_at","VPS13","YLL040C"
"393","10392_at","UBI4","YLL039C"
"394","10393_at","ENT4","YLL038C"
"395","10394_at",NA,"YLL037W"
"396","10395_at","PRP19","YLL036C"
"397","10396_at",NA,NA
"398","10397_at",NA,NA
"399","10398_at",NA,NA
"400","10399_at",NA,NA
"401","10400_at",NA,NA
"402","10401_at",NA,NA
"403","10402_at",NA,NA
"404","10403_at",NA,NA
"405","10404_at",NA,NA
"406","10405_at",NA,NA
"407","10406_at",NA,NA
"408","10407_at",NA,NA
"409","10408_at",NA,NA
"410","10409_at",NA,NA
"411","10410_at",NA,NA
"412","10411_f_at",NA,"YLL065W"
"413","10412_f_at","PAU18","YLL064C"
"414","10413_at","AYT1","YLL063C"
"415","10414_at","MHT1","YLL062C"
"416","10415_at","MMP1","YLL061W"
"417","10416_at","GTT2","YLL060C"
"418","10417_at",NA,"YLL059C"
"419","10418_at",NA,"YLL058W"
"420","10419_at",NA,NA
"421","10420_at",NA,NA
"422","10421_at",NA,NA
"423","10422_at",NA,NA
"424","10423_at",NA,NA
"425","10424_at",NA,NA
"426","10425_at",NA,NA
"427","10426_at",NA,NA
"428","10427_at",NA,NA
"429","10428_at",NA,NA
"430","10429_at",NA,NA
"431","10430_at",NA,NA
"432","10431_at",NA,NA
"433","10432_at",NA,NA
"434","10433_at",NA,NA
"435","10434_at",NA,NA
"436","10435_at",NA,NA
"437","10436_at",NA,NA
"438","10437_at",NA,NA
"439","10438_at",NA,NA
"440","10439_at",NA,NA
"441","10440_at",NA,NA
"442","10441_at",NA,NA
"443","10442_s_at",NA,NA
"444","10443_at",NA,"YKL162C-A"
"445","10444_at","OPI8","YKR035C"
"446","10445_s_at","MNN4","YKL201C"
"447","10446_s_at",NA,NA
"448","10447_s_at","PTK1","YKL198C"
"449","10448_s_at",NA,"YKL033W-A"
"450","10449_at",NA,NA
"451","10450_at",NA,NA
"452","10451_at",NA,NA
"453","10452_at",NA,NA
"454","10453_at",NA,NA
"455","10454_at",NA,NA
"456","10455_at",NA,NA
"457","10456_at",NA,NA
"458","10457_at",NA,NA
"459","10458_at",NA,NA
"460","10459_at",NA,NA
"461","10460_at",NA,NA
"462","10461_at",NA,NA
"463","10462_at",NA,NA
"464","10463_at",NA,NA
"465","10464_at","MRPL20","YKR085C"
"466","10465_at","PRP16","YKR086W"
"467","10466_at","OMA1","YKR087C"
"468","10467_at","TVP38","YKR088C"
"469","10468_at","TGL4","YKR089C"
"470","10469_at","PXL1","YKR090W"
"471","10470_at","SRL3","YKR091W"
"472","10471_at","SRP40","YKR092C"
"473","10472_at","PTR2","YKR093W"
"474","10473_i_at","RPL40B","YKR094C"
"475","10474_s_at","RPL40B","YKR094C"
"476","10475_at","MLP1","YKR095W"
"477","10476_at","ESL2","YKR096W"
"478","10477_g_at","ESL2","YKR096W"
"479","10478_at","PCK1","YKR097W"
"480","10479_at","UBP11","YKR098C"
"481","10480_at","BAS1","YKR099W"
"482","10481_at","SKG1","YKR100C"
"483","10482_at","SIR1","YKR101W"
"484","10483_at","FLO10","YKR102W"
"485","10484_at","NFT1","YKR103W"
"486","10485_at",NA,"YKR104W"
"487","10486_s_at","VBA5","YKR105C"
"488","10487_at","TFA2","YKR062W"
"489","10488_at","LAS1","YKR063C"
"490","10489_at","OAF3","YKR064W"
"491","10490_at","PAM17","YKR065C"
"492","10491_at","CCP1","YKR066C"
"493","10492_at","GPT2","YKR067W"
"494","10493_at","BET3","YKR068C"
"495","10494_at","MET1","YKR069W"
"496","10495_at",NA,"YKR070W"
"497","10496_at","DRE2","YKR071C"
"498","10497_at","SIS2","YKR072C"
"499","10498_at",NA,"YKR073C"
"500","10499_at","AIM29","YKR074W"
"501","10500_at",NA,"YKR075C"
"502","10501_at","ECM4","YKR076W"
"503","10502_at","MSA2","YKR077W"
"504","10503_at",NA,"YKR078W"
"505","10504_at","TRZ1","YKR079C"
"506","10505_at","MTD1","YKR080W"
"507","10506_at","RPF2","YKR081C"
"508","10507_at","NUP133","YKR082W"
"509","10508_at","DAD2","YKR083C"
"510","10509_at","HBS1","YKR084C"
"511","10510_at","KAE1","YKR038C"
"512","10511_at","GAP1","YKR039W"
"513","10512_at",NA,"YKR040C"
"514","10513_at",NA,"YKR041W"
"515","10514_at","UTH1","YKR042W"
"516","10515_at","SHB17","YKR043C"
"517","10516_at","UIP5","YKR044W"
"518","10517_at",NA,"YKR045C"
"519","10518_at","PET10","YKR046C"
"520","10519_at",NA,"YKR047W"
"521","10520_at","NAP1","YKR048C"
"522","10521_at","FMP46","YKR049C"
"523","10522_at","TRK2","YKR050W"
"524","10523_at",NA,"YKR051W"
"525","10524_at","MRS4","YKR052C"
"526","10525_at","YSR3","YKR053C"
"527","10526_at","DYN1","YKR054C"
"528","10527_at","RHO4","YKR055W"
"529","10528_at","TRM2","YKR056W"
"530","10529_i_at","RPS21A","YKR057W"
"531","10530_at","GLG1","YKR058W"
"532","10531_at","UTP30","YKR060W"
